Timestamp,X,Y,Z
16-7月-2020 12:32:42.597,-2.876269,-6.819968,-0.834964
16-7月-2020 12:32:42.697,-7.336244,-7.928263,-1.36082
16-7月-2020 12:32:42.797,-6.650969,-11.582015,1.020727
16-7月-2020 12:32:42.897,-5.587581,-6.966513,-1.037493
16-7月-2020 12:32:42.996,-3.053351,-6.196365,0.339195
16-7月-2020 12:32:43.096,-2.499802,-4.913832,-0.330662
16-7月-2020 12:32:43.196,-7.720345,-9.964628,0.426912
16-7月-2020 12:32:43.295,-10.008038,-7.13641,-2.276765
16-7月-2020 12:32:43.395,-6.558761,-8.315508,-3.840264
16-7月-2020 12:32:43.495,-4.729565,-6.88164,5.189858
16-7月-2020 12:32:43.594,-2.82268,-7.475305,-5.930368
16-7月-2020 12:32:43.694,-4.265829,-7.776778,-0.596659
16-7月-2020 12:32:43.794,-7.545509,-7.073391,-5.094207
16-7月-2020 12:32:43.894,-8.582552,-13.654605,-0.691113
16-7月-2020 12:32:43.993,-4.580774,-9.195528,0.930615
16-7月-2020 12:32:44.093,-4.016448,-8.418494,0.631237
16-7月-2020 12:32:44.193,-4.022286,-7.311995,0.124541
16-7月-2020 12:32:44.292,-6.279741,-9.596394,2.134262
16-7月-2020 12:32:44.392,-7.401508,-9.686956,3.575016
16-7月-2020 12:32:44.492,-5.308112,-7.686216,2.569257
16-7月-2020 12:32:44.591,-4.889732,-7.548952,0.68288
16-7月-2020 12:32:44.691,-4.339775,-9.518107,-4.147575
16-7月-2020 12:32:44.791,-1.44255,-8.211025,-4.918023
16-7月-2020 12:32:44.891,-2.733166,-8.176447,0.629441
16-7月-2020 12:32:44.990,-4.469556,-8.655301,-3.653303
16-7月-2020 12:32:45.090,-5.625751,-9.238938,-4.970863
16-7月-2020 12:32:45.190,-6.262377,-14.631474,2.966082
16-7月-2020 12:32:45.289,-2.979404,-6.326893,-0.460443
16-7月-2020 12:32:45.389,-3.157085,-6.177504,-0.087568
16-7月-2020 12:32:45.489,-5.40496,-7.481143,-0.167951
